Date,SB,Winner,Winner Pts,Loser,Loser Pts
Feb 12 2023,LVII (57),Kansas City Chiefs,38,Philadelphia Eagles,35
Feb 13 2022,LVI (56),Los Angeles Rams,23,Cincinnati Bengals,20
Feb 7 2021,LV (55),Tampa Bay Buccaneers,31,Kansas City Chiefs,9
Feb 2 2020,LIV (54),Kansas City Chiefs,31,San Francisco 49ers,20
Feb 3 2019,LIII (53),New England Patriots,13,Los Angeles Rams,3
Feb 4 2018,LII (52),Philadelphia Eagles,41,New England Patriots,33
Feb 5 2017,LI (51),New England Patriots,34,Atlanta Falcons,28
Feb 7 2016,50,Denver Broncos,24,Carolina Panthers,10
Feb 1 2015,XLIX (49),New England Patriots,28,Seattle Seahawks,24
Feb 2 2014,XLVIII (48),Seattle Seahawks,43,Denver Broncos,8
